name_track,artist_track,uri_track,popularity,danceability
Let's Work Together,Canned Heat,spotify:track:4GAqWEmxzMZDZ1T0NFHqKG,54,76
Good Times Roll,The Cars,spotify:track:7hVhRCDV100Jq26NGR7adw,62,61
My Best Friend's Girl,The Cars,spotify:track:1SRkKyJ2JjMZgyDWC30zKv,65,80
Just What I Needed,The Cars,spotify:track:4alHo6RGd0D3OUbTPExTHN,71,62
You're All I've Got Tonight,The Cars,spotify:track:2RH10TTlPhq8S61rXlVssL,52,58
Bye Bye Love,The Cars,spotify:track:2bNOq6aol7JZ0JJtLlg3TK,57,63
Moving in Stereo,The Cars,spotify:track:5xLfQuX5YAfog2JgPz0dpA,58,72
All Mixed Up,The Cars,spotify:track:35jXTF1ALlzkrS2k1B5dkF,48,52
Let's Go,The Cars,spotify:track:43G3McVkRa8V7oGQzfQuRr,59,65
Hello Again,The Cars,spotify:track:6HFpfx0Efw1ckqKTLVrMQy,43,86
Magic,The Cars,spotify:track:7z8k6KAvjHX3RtkYNhIC9B,48,68
Downed,Cheap Trick,spotify:track:7hUtGcxKSSzb5ezVx5QlVt,30,45
Southern Girls,Cheap Trick,spotify:track:18IL1LfIsEHqmj17rnlw8K,38,46
Surrender,Cheap Trick,spotify:track:2ccUQnjjNWT0rsNnsBpsCA,69,52
Dream Police,Cheap Trick,spotify:track:1YiAY1oCmkFjUabQL9gos4,52,48
Questions 67 and 68 - 2002 Remaster,Chicago,spotify:track:3YxBBvWnhl3CHHLpVAu5vO,42,45
25 or 6 to 4 - 2002 Remaster,Chicago,spotify:track:7GqIDx2QVGOpd4r1fZaUUW,65,60
Old Days - 2002 Remaster,Chicago,spotify:track:6KpLEkhkg0FR4J9x0fbIRP,38,51
Feelin' Stronger Every Day - 2002 Remaster,Chicago,spotify:track:3hfqqSWS52Vucr4S0mLqUN,53,38
Strange Brew,Cream,spotify:track:47bXIv24jthL4vzZy3j7CY,58,60
Sunshine Of Your Love,Cream,spotify:track:2K2M0TcglCRLLpFOzKeFZA,71,68
Tales Of Brave Ulysses,Cream,spotify:track:0GxV3poTM7Z7fKSUqy5qFw,54,54
SWLABR,Cream,spotify:track:2JbS4ZDBIUcXavA9mfb2nC,54,55
Badge,Cream,spotify:track:08xsXR637CEqbxJmpFcuSA,51,60
White Room,Cream,spotify:track:3Xls4cNOwy01dtrNXb1inG,70,55
Sitting On Top Of The World,Cream,spotify:track:0aY5bJ4jRHiOd8eCMWmcy8,43,38
Born Under A Bad Sign,Cream,spotify:track:2uxsnsH0XzOBZkMrSFVmll,44,48
Deserted Cities Of The Heart,Cream,spotify:track:5YYgdRGxr41WEV4C0qvzCI,32,52
Politician,Cream,spotify:track:4MYMykrz2e39HaVYutp24u,36,48
Crossroads - Live,Cream,spotify:track:6PUabSMXmPnZna361Wwmf7,57,39
I Put A Spell On You,Creedence Clearwater Revival,spotify:track:4SDywo3ykB2PEthjXvo1UP,61,39
Susie Q,Creedence Clearwater Revival,spotify:track:6z2AyfE9GZxoHqJVSA4NgN,63,65
