name_track,artist_track,uri_track,popularity,tempo,genres,urlImage
Like a Stone,Audioslave,spotify:track:3YuaBvuZqcwN3CEAyyoaei,77,108,"alternative metal, alternative rock, nu metal, permanent wave, post-grunge, rock, supergroup",https://i.scdn.co/image/ab67616d00004851a7292b6863258e889b78d787
Judith,A Perfect Circle,spotify:track:5KDNFlHAdDJ84fhK27c35X,66,82,"alternative metal, alternative rock, nu metal, rap rock, rock, supergroup",https://i.scdn.co/image/ab67616d000048512d73b494efcb99356f8c7b28
Do I Wanna Know?,Arctic Monkeys,spotify:track:5FVd6KXrgO9B3JPmC8OPst,87,85,"garage rock, modern rock, permanent wave, rock, sheffield indie",https://i.scdn.co/image/ab67616d000048514ae1c4c5c45aabe565499163
Creep,Radiohead,spotify:track:70LcF31zb1H0PyJoS1Sx1r,84,92,"alternative rock, art rock, melancholia, oxford indie, permanent wave, rock",https://i.scdn.co/image/ab67616d00004851df55e326ed144ab4f5cecf95
Enjoy the Silence,Depeche Mode,spotify:track:6WK9dVrRABMkUXFLNlgWFh,70,113,"dance rock, new romantic, new wave, permanent wave, synthpop",https://i.scdn.co/image/ab67616d000048510a7d45a345534966a4ad2c39
The Bitter End,Placebo,spotify:track:46joZOtZOQk9t28LduYGr7,64,186,reggaeton mexicano,https://i.scdn.co/image/ab67616d000048511e5e1aca0280bcedf00be7ec
Dicke Titten,Rammstein,spotify:track:5KTBaWu8IOczQ0sPWzZ7MY,73,117,"alternative metal, german metal, industrial, industrial metal, industrial rock, neue deutsche harte",https://i.scdn.co/image/ab67616d000048511108fef87966d83948b6a037
Teardrop,Massive Attack,spotify:track:67Hna13dNDkZvBpTXRIaOJ,70,77,"downtempo, electronica, trip hop",https://i.scdn.co/image/ab67616d000048512fcb0a3c7a66e516b11cd26e
Welcome to the Black Parade,My Chemical Romance,spotify:track:5wQnmLuC1W7ATsArWACrgW,77,97,"emo, pop punk",https://i.scdn.co/image/ab67616d0000485117f77fab7e8f18d5f9fee4a1
Rose Tattoo,Dropkick Murphys,spotify:track:3j5QcKYJ836ZBbcj1OoEod,62,108,"boston punk, boston rock, celtic punk, celtic rock, punk, skate punk",https://i.scdn.co/image/ab67616d000048516d9b63cbfdacbecf9ec8adc8
Love Like Blood,Killing Joke,spotify:track:1zkQJfNo2KpqqCKOOvWPF4,53,124,"gothic rock, industrial, industrial rock, new romantic, new wave, post-punk, uk post-punk",https://i.scdn.co/image/ab67616d0000485180f3873ab7f64ad7b1685db2
Don't Look Back In Anger - Remastered,Oasis,spotify:track:12dU3vAh6AFoJkisorfoUl,71,163,"beatlesque, britpop, madchester, permanent wave, pop rock, rock",https://i.scdn.co/image/ab67616d000048517a4c8c59851c88f6794c3cbf
Crawling,Linkin Park,spotify:track:57BrRMwf9LrcmuOsyGilwr,75,105,"alternative metal, nu metal, post-grunge, rap metal",https://i.scdn.co/image/ab67616d00004851e2f039481babe23658fc719a
Many of Horror,Biffy Clyro,spotify:track:0Au4QRVX0hwIRVv1svcqhD,59,164,"modern rock, rock, scottish rock",https://i.scdn.co/image/ab67616d00004851377169f345863de4ceb5d41f
Enter Sandman,Metallica,spotify:track:5sICkBXVmaCQk5aISGR3x1,80,123,"hard rock, metal, old school thrash, rock, thrash metal",https://i.scdn.co/image/ab67616d00004851cf84c5b276431b473e924802
Just Breathe,Pearl Jam,spotify:track:6i81qFkru6Kj1IEsB7KNp2,68,108,"alternative rock, grunge, permanent wave, rock",https://i.scdn.co/image/ab67616d00004851cd1c5e0054c122d9aa3f829a
Instant Street,dEUS,spotify:track:0wLeXKBtG1wcpA86TyLLvZ,41,119,"hard rock, metal",https://i.scdn.co/image/ab67616d00004851f6aad8740abd3c6280bf77ea
KITTY KITTY,De Staat,spotify:track:4oyvskg9RfO3Y0JPHrrjEX,40,98,"dutch indie, dutch indie rock, dutch rock",https://i.scdn.co/image/ab67616d000048514654c2878001bd8d7a7ae2ce
Glycerine - Remastered,Bush,spotify:track:5buITai6eMzU8rJonMEI6e,62,114,"alternative metal, alternative rock, grunge, modern rock, nu metal, pop rock, post-grunge, rap rock, rock",https://i.scdn.co/image/ab67616d000048511581237e4d580feafaed6bc0
Farewell To The Fairground,White Lies,spotify:track:09v3dFgd3YwrD0U5gkNaTg,57,118,kentucky hip hop,https://i.scdn.co/image/ab67616d0000485132fc28e3e988cd9911429b88
Space Oddity - 2015 Remaster,David Bowie,spotify:track:72Z17vmmeQKAg8bptWvpVG,71,134,"classic rock, glam rock, rock",https://i.scdn.co/image/ab67616d000048513395f3e809dfbc2b1101d464
Lola Montez,Volbeat,spotify:track:3ear11tYbMEmNDm2lxZTqL,65,152,"alternative metal, danish metal, danish rock, nu metal",https://i.scdn.co/image/ab67616d0000485123f479dae01ad805b46272f4
Palomine - 1,Bettie Serveert,spotify:track:5Z7iI9RPFzY92A06TISevW,28,62,"alternative pop, dutch indie, dutch indie rock, dutch rock",https://i.scdn.co/image/ab67616d000048519239d80da8e00d88b996d554
All My Life,Foo Fighters,spotify:track:6tsojOQ5wHaIjKqIryLZK6,73,168,"alternative metal, alternative rock, modern rock, permanent wave, post-grunge, rock",https://i.scdn.co/image/ab67616d00004851b00ee453b3496535eaa6e4b3
Bitter Sweet Symphony,The Verve,spotify:track:57iDDD9N9tTWe75x6qhStw,78,171,"alternative rock, britpop, permanent wave, pop rock, rock, shoegaze",https://i.scdn.co/image/ab67616d00004851707d13d3f87652e737e94d45
Jackie Down The Line,Fontaines D.C.,spotify:track:3ITvhrRB5TlEks19k9qy2k,56,135,"indie rock, irish indie rock, modern rock",https://i.scdn.co/image/ab67616d000048519781854bade2a6e88c7f3b29
Estranged,Guns N' Roses,spotify:track:3s03nrUInN3NAVjQtmnS0O,66,89,"glam metal, hard rock, rock",https://i.scdn.co/image/ab67616d0000485192d21aef6c0d288cc4c05973
Disarm - Remastered,The Smashing Pumpkins,spotify:track:7A8caPxvrT8ZgLvQPPUCcj,65,130,"alternative metal, alternative rock, grunge, permanent wave, pop rock, rock, spacegrunge",https://i.scdn.co/image/ab67616d00004851fd1e7c26933d06af2fd0afe6
Jesus of Suburbia,Green Day,spotify:track:58KPPL1AdLHMvR2O2PZejr,65,147,"permanent wave, punk",https://i.scdn.co/image/ab67616d0000485108a1b1e0674086d3f1995e1b
Gimme Shelter,The Rolling Stones,spotify:track:6H3kDe7CGoWYBabAeVWGiD,76,119,"british invasion, classic rock, rock",https://i.scdn.co/image/ab67616d000048512af30c881bb23cfb82a8cf99
Car Radio,Twenty One Pilots,spotify:track:3zaCBaBsSii7XcHtPjlix5,46,130,"modern rock, rock",https://i.scdn.co/image/ab67616d000048512f9d6d6f0cb2b96eaacbe06b
Plush,Stone Temple Pilots,spotify:track:3jJZVeExYzVYiV6Y9Fl3DX,65,145,"alternative metal, alternative rock, grunge, hard rock, nu metal, pop rock, post-grunge, rock",https://i.scdn.co/image/ab67616d00004851171f7a0b1f8076e6d9aaf6b7
Schism,TOOL,spotify:track:55mJleti2WfWEFNFcBduhc,69,107,"atl hip hop, hip hop, melodic rap, pop rap, rap, southern hip hop, trap",https://i.scdn.co/image/ab67616d00004851ca41a947c13b78749c4953b1
Ohio,King Princess,spotify:track:3FN5547t8mXmJQQWIHLS3Y,39,88,"alt z, art pop, electropop, indie pop, indie poptimism, nyc pop, pop",https://i.scdn.co/image/ab67616d00004851b586d555c83bf5c4199aacc8
Uprising,Muse,spotify:track:4VqPOruhp5EdPBeR92t6lQ,75,128,"puerto rican pop, trap latino",https://i.scdn.co/image/ab67616d00004851b6d4566db0d12894a1a3b7a2
Bad - Edit,U2,spotify:track:3fOsKEaGwhp9TRgJnrMA2z,55,98,"irish rock, permanent wave, rock",https://i.scdn.co/image/ab67616d00004851ba171000f58dd9dde2692122
Figure It Out,Royal Blood,spotify:track:3MjrueDQKVr6xDDseZwhEd,66,108,"ccm, christian pop",https://i.scdn.co/image/ab67616d0000485169471a9c0a6073a9beb81410
Black Soul Choir,16 Horsepower,spotify:track:6ziQDVHvXcKm7N78CBNjY6,43,217,,https://i.scdn.co/image/ab67616d0000485167ed3eb976dedb9bf3274db9
Bring Me To Life,Evanescence,spotify:track:0COqiPhxzoWICwFCS4eZcp,81,95,alternative metal,https://i.scdn.co/image/ab67616d0000485125f49ab23f0ec6332efef432
Winter - 2015 Remaster,Tori Amos,spotify:track:11dfOCV0oBxzZ9fi2PZhvS,48,79,"dark pop, ectofolk, lilith, melancholia, new wave pop, permanent wave, piano rock, pop rock, singer-songwriter",https://i.scdn.co/image/ab67616d00004851f2f65c08a66e03c69cbc0081
Ace of Spades,Motörhead,spotify:track:6EPRKhUOdiFSQwGBRBbvsZ,74,140,"album rock, hard rock, metal, rock, speed metal",https://i.scdn.co/image/ab67616d000048512051e219a4af7648223953c1
Pure Morning - Radio Edit,Placebo,spotify:track:3ePYQ9NJfj7bNr2FDjy6Bn,57,82,reggaeton mexicano,https://i.scdn.co/image/ab67616d000048511e5e1aca0280bcedf00be7ec
Kitty Sucker,Frank Carter & The Rattlesnakes,spotify:track:7ajm14wJT1HiZOVCf4d00F,50,156,"modern alternative rock, modern rock, rock",https://i.scdn.co/image/ab67616d000048517a3cfec5a708cce87d7c67d6
Dog Days Are Over,Florence + The Machine,spotify:track:456WNXWhDwYOSf5SpTuqxd,74,150,"baroque pop, pop, uk alternative pop",https://i.scdn.co/image/ab67616d00004851003f81b1f4246362638e682d
Exit Music (For A Film),Radiohead,spotify:track:0z1o5L7HJx562xZSATcIpY,72,122,"alternative rock, art rock, melancholia, oxford indie, permanent wave, rock",https://i.scdn.co/image/ab67616d00004851c8b444df094279e70d0ed856
Hypersonic Missiles,Sam Fender,spotify:track:6CltzquypraYIlWFp48m1O,68,131,"modern rock, north east england indie",https://i.scdn.co/image/ab67616d00004851afb4accd45527de5717afc9a
Fear of the Dark - 2015 Remaster,Iron Maiden,spotify:track:6p8eFfPw3nQkf37aT3AkmK,71,110,"hard rock, metal, nwobhm, rock",https://i.scdn.co/image/ab67616d000048510dda9c11454b9053d07f585a
Dakota,Stereophonics,spotify:track:3qaSqrrevBrb84xl5JlptU,69,147,"britpop, modern rock, neo mellow, pop rock, rock, welsh rock",https://i.scdn.co/image/ab67616d00004851ecdb914ea9cbbb31c5a6b71b
